Name	Length	Identity	Relative length
1	10000	99.65076830971861	99.85022466300549
10	10000	99.72025177340393	100.02000400080016
100	10000	99.7102028579994	100.04001600640257
101	10000	99.67052715654953	99.91008092716555
102	10000	99.59065495207668	99.95002498750625
103	10000	99.70032963739887	99.96001599360255
104	10000	99.65038457696534	99.98000399920016
105	10000	99.57051538154215	100.0100010001
106	10000	99.72033559728327	99.96001599360255
107	10000	99.69046430354469	99.930048965724
108	10000	99.76033553025763	99.9000999000999
109	10000	99.7702527220058	99.96001599360255
11	10000	99.8500299940012	100.05002501250625
110	10000	99.6002798041371	100.02001400980687
111	10000	99.66027178257394	100.04001600640257
112	10000	99.75024975024975	99.97000899730081
113	10000	99.70041941282204	99.94003597841295
114	10000	99.63044346783859	99.97000899730081
115	10000	99.77013791724966	100.03000900270081
116	10000	99.76023976023976	99.96001599360255
117	10000	99.70032963739887	100.0100010001
118	10000	99.72027972027972	99.9900009999
119	10000	99.70023980815348	100.07004903432403
12	10000	99.67032967032966	100.02000400080016
120	10000	99.61027280903367	100.09008107296567
121	10000	99.69046430354469	99.9000999000999
122	10000	99.84004798560431	100.03000900270081
123	10000	99.7602158057748	100.02000400080016
124	10000	99.69027874912578	100.04001600640257
125	10000	99.62034169247677	99.96001599360255
126	10000	99.6805430767695	99.86019572598363
127	10000	99.63040655279192	100.0
128	10000	99.75029964043148	99.98000399920016
129	10000	99.72036352741436	99.96001599360255
13	10000	99.75019984012789	100.0100010001
130	10000	99.75017487758569	100.0100010001
131	10000	99.61054523666867	100.0100010001
132	10000	99.66050923614578	99.94003597841295
133	10000	99.76016788248226	99.9900009999
134	10000	99.8000799680128	100.02000800320128
135	10000	99.66037358905204	100.0100010001
136	10000	99.79016786570743	99.9900009999
137	10000	99.72036352741436	99.91008092716555
138	10000	99.69037155413504	99.97000899730081
139	10000	99.62056914628057	99.9900009999
14	10000	99.78017585931255	100.0
140	10000	99.7702527220058	99.94003597841295
141	10000	99.68031968031968	100.02000400080016
142	10000	99.70014992503748	100.1201441730076
143	10000	99.72022382094325	99.97000899730081
144	10000	99.5704724802717	99.95002498750625
145	10000	99.74023378958937	100.0
146	10000	99.68031968031968	99.95002498750625
147	10000	99.7802636835797	99.94003597841295
148	10000	99.65041949660407	99.98000399920016
149	10000	99.72033559728327	99.98000399920016
15	10000	99.70038949365825	99.95002498750625
150	10000	99.71026076531122	100.0100010001
151	10000	99.75027469783238	99.92006394884093
152	10000	99.58062905641538	99.98000399920016
153	10000	99.73029667365897	99.97000899730081
154	10000	99.70038949365825	99.95002498750625
155	10000	99.75024975024975	99.97000899730081
156	10000	99.58046149235841	100.0100010001
157	10000	99.69018588846691	100.05002501250625
158	10000	99.74010395841664	100.05002501250625
159	10000	99.64050329538645	99.97000899730081
16	10000	99.64039556487863	100.06003602161297
160	10000	99.72044728434504	99.9000999000999
161	10000	99.72030766157226	99.98000399920016
162	10000	99.67046135410425	99.96001599360255
163	10000	99.81018981018981	99.95002498750625
164	10000	99.74018187268912	100.04001600640257
165	10000	99.74020783373301	100.02000400080016
166	10000	99.54073482428115	99.930048965724
167	10000	99.62034169247677	100.05002501250625
168	10000	99.75022479768208	100.0100010001
169	10000	99.62053125624126	99.97000899730081
17	10000	99.73018886779255	100.03000900270081
170	10000	99.75027469783238	99.96001599360255
171	10000	99.7103765105363	99.930048965724
172	10000	99.74025974025975	99.96001599360255
